,date,instrument,avg_volume
0,2023-09-04,18300_CE,70.0
1,2023-09-05,18300_CE,50.0
2,2023-09-06,18300_CE,100.0
3,2023-09-07,18300_CE,233.0
4,2023-09-01,18300_PE,28318.0
5,2023-09-04,18300_PE,18551.0
6,2023-09-05,18300_PE,15848.0
7,2023-09-06,18300_PE,12214.0
8,2023-09-07,18300_PE,6125.0
9,2023-09-01,18400_CE,100.0
10,2023-09-04,18400_CE,71.0
11,2023-09-05,18400_CE,63.0
12,2023-09-06,18400_CE,86.0
13,2023-09-07,18400_CE,374.0
14,2023-09-01,18400_PE,29158.0
15,2023-09-04,18400_PE,22901.0
16,2023-09-05,18400_PE,20750.0
17,2023-09-06,18400_PE,18083.0
18,2023-09-07,18400_PE,10533.0
19,2023-09-01,18500_CE,505.0
20,2023-09-04,18500_CE,185.0
21,2023-09-05,18500_CE,67.0
22,2023-09-06,18500_CE,143.0
23,2023-09-07,18500_CE,283.0
24,2023-09-01,18500_PE,69890.0
25,2023-09-04,18500_PE,57736.0
26,2023-09-05,18500_PE,42670.0
27,2023-09-06,18500_PE,50639.0
28,2023-09-07,18500_PE,72026.0
29,2023-09-01,18600_CE,194.0
30,2023-09-04,18600_CE,726.0
31,2023-09-05,18600_CE,64.0
32,2023-09-06,18600_CE,79.0
33,2023-09-07,18600_CE,290.0
34,2023-09-01,18600_PE,58821.0
35,2023-09-04,18600_PE,38942.0
36,2023-09-05,18600_PE,36851.0
37,2023-09-06,18600_PE,31803.0
38,2023-09-07,18600_PE,46217.0
39,2023-09-01,18700_CE,97.0
40,2023-09-04,18700_CE,96.0
41,2023-09-05,18700_CE,79.0
42,2023-09-06,18700_CE,106.0
43,2023-09-07,18700_CE,450.0
44,2023-09-01,18700_PE,57790.0
45,2023-09-04,18700_PE,44262.0
46,2023-09-05,18700_PE,42466.0
47,2023-09-06,18700_PE,52623.0
48,2023-09-07,18700_PE,42045.0
49,2023-09-01,18800_CE,403.0
50,2023-09-04,18800_CE,492.0
51,2023-09-05,18800_CE,141.0
52,2023-09-06,18800_CE,283.0
53,2023-09-07,18800_CE,341.0
54,2023-09-01,18800_PE,79261.0
55,2023-09-04,18800_PE,67069.0
56,2023-09-05,18800_PE,61723.0
