timestamp,open,high,low,close,volume
1702611900,47939.9,47987.25,47889.85,47912.6,0
1702611960,47912.0,47938.8,47878.35,47899.05,0
1702612020,47895.85,47897.65,47847.8,47864.6,0
1702612080,47859.25,47873.7,47841.5,47872.75,0
1702612140,47868.25,47872.4,47827.6,47837.15,0
1702612200,47838.25,47853.3,47815.8,47826.9,0
1702612260,47829.1,47854.85,47824.15,47827.2,0
1702612320,47826.65,47840.3,47813.55,47830.7,0
1702612380,47832.85,47837.55,47818.9,47818.9,0
1702612440,47814.7,47829.8,47798.0,47829.8,0
1702612500,47825.85,47845.2,47804.35,47804.35,0
1702612560,47807.55,47813.25,47792.9,47797.4,0
1702612620,47797.8,47808.7,47791.0,47795.05,0
1702612680,47794.5,47803.6,47782.5,47786.0,0
1702612740,47786.5,47795.25,47764.35,47764.35,0
1702612800,47764.1,47782.75,47755.1,47780.4,0
1702612860,47782.3,47791.6,47772.9,47776.65,0
1702612920,47781.4,47808.9,47780.4,47797.6,0
1702612980,47806.0,47817.15,47785.85,47793.95,0
1702613040,47796.95,47803.65,47776.2,47776.2,0
1702613100,47774.9,47774.9,47732.25,47738.25,0
1702613160,47737.95,47739.05,47715.65,47727.15,0
1702613220,47729.35,47741.0,47708.75,47708.75,0
1702613280,47711.4,47717.1,47699.4,47699.4,0
1702613340,47703.3,47716.0,47694.4,47710.0,0
1702613400,47705.25,47713.75,47698.0,47710.7,0
1702613460,47709.1,47728.1,47705.85,47728.1,0
1702613520,47727.4,47730.65,47702.95,47704.2,0
1702613580,47705.65,47719.45,47705.25,47712.1,0
1702613640,47716.2,47725.7,47705.7,47719.9,0
1702613700,47719.2,47763.55,47716.6,47757.5,0
1702613760,47759.25,47767.55,47729.2,47735.2,0
1702613820,47734.85,47735.05,47716.3,47720.95,0
1702613880,47722.2,47745.0,47721.65,47738.6,0
1702613940,47735.4,47743.65,47734.25,47738.6,0
1702614000,47740.8,47747.1,47733.9,47747.1,0
1702614060,47743.4,47747.4,47734.05,47736.45,0
1702614120,47738.3,47741.25,47724.1,47739.05,0
1702614180,47735.95,47741.05,47727.9,47737.8,0
1702614240,47738.1,47738.1,47667.45,47667.45,0
1702614300,47666.35,47685.05,47666.35,47685.05,0
1702614360,47683.3,47709.25,47683.3,47708.45,0
1702614420,47707.2,47746.6,47707.2,47742.1,0
1702614480,47741.15,47762.75,47738.7,47744.4,0
1702614540,47745.25,47765.3,47744.45,47765.3,0
1702614600,47760.7,47775.3,47757.6,47772.85,0
1702614660,47771.5,47772.75,47758.2,47759.85,0
1702614720,47758.95,47766.6,47755.1,47759.5,0
1702614780,47760.15,47776.75,47755.55,47770.8,0
1702614840,47771.1,47790.25,47765.1,47787.05,0
1702614900,47787.25,47805.95,47781.05,47798.0,0
1702614960,47799.1,47811.65,47796.75,47800.95,0
1702615020,47802.55,47814.0,47799.7,47800.4,0
1702615080,47801.9,47815.9,47798.6,47806.6,0
1702615140,47806.85,47816.75,47795.35,47802.95,0
1702615200,47806.15,47808.75,47791.05,47794.9,0
1702615260,47795.7,47807.35,47795.05,47797.55,0
1702615320,47802.2,47805.8,47790.05,47799.85,0
1702615380,47802.35,47810.25,47798.15,47801.0,0
1702615440,47800.95,47808.05,47794.65,47797.8,0
1702615500,47800.55,47801.25,47784.35,47786.45,0
1702615560,47787.4,47804.05,47787.1,47792.25,0
1702615620,47793.25,47797.1,47780.8,47787.95,0
1702615680,47788.3,47796.75,47779.95,47785.9,0
1702615740,47785.4,47803.55,47785.4,47800.35,0
1702615800,47802.75,47807.3,47790.2,47796.15,0
1702615860,47793.6,47793.6,47782.7,47788.85,0
1702615920,47791.55,47791.95,47779.2,47791.9,0
1702615980,47788.7,47804.6,47783.7,47789.65,0
1702616040,47787.3,47826.4,47787.3,47826.4,0
1702616100,47822.55,47828.9,47809.5,47828.9,0
1702616160,47823.55,47823.55,47809.8,47811.7,0
