,date,instrument,avg_volume
161,2023-09-01,44300_CE,198770.0
162,2023-09-04,44300_CE,124840.0
163,2023-09-05,44300_CE,102852.0
164,2023-09-06,44300_CE,1891512.0
165,2023-09-01,44300_PE,127958.0
166,2023-09-04,44300_PE,202970.0
167,2023-09-05,44300_PE,196084.0
168,2023-09-06,44300_PE,2251637.0
169,2023-09-01,44400_CE,197416.0
170,2023-09-04,44400_CE,246763.0
171,2023-09-05,44400_CE,203508.0
172,2023-09-06,44400_CE,2203180.0
173,2023-09-01,44400_PE,99665.0
174,2023-09-04,44400_PE,281457.0
175,2023-09-05,44400_PE,286098.0
176,2023-09-06,44400_PE,1500559.0
177,2023-09-01,44500_CE,284391.0
178,2023-09-04,44500_CE,444103.0
179,2023-09-05,44500_CE,426311.0
180,2023-09-06,44500_CE,1527826.0
181,2023-09-01,44500_PE,118085.0
182,2023-09-04,44500_PE,383634.0
183,2023-09-05,44500_PE,441607.0
184,2023-09-06,44500_PE,759843.0
185,2023-09-01,44600_CE,139091.0
186,2023-09-04,44600_CE,299729.0
187,2023-09-05,44600_CE,371612.0
188,2023-09-06,44600_CE,787234.0
189,2023-09-01,44600_PE,34559.0
190,2023-09-04,44600_PE,216226.0
191,2023-09-05,44600_PE,315609.0
192,2023-09-06,44600_PE,254379.0
193,2023-09-01,44700_CE,119611.0
194,2023-09-04,44700_CE,230143.0
195,2023-09-05,44700_CE,264661.0
196,2023-09-06,44700_CE,534943.0
197,2023-09-01,44700_PE,14705.0
198,2023-09-04,44700_PE,108135.0
199,2023-09-05,44700_PE,176147.0
200,2023-09-06,44700_PE,122792.0
201,2023-09-01,44800_CE,110032.0
202,2023-09-04,44800_CE,191242.0
203,2023-09-05,44800_CE,197725.0
204,2023-09-01,44800_PE,7771.0
205,2023-09-04,44800_PE,55076.0
206,2023-09-05,44800_PE,104378.0
207,2023-09-06,44800_PE,60631.0
208,2023-09-01,44900_CE,90422.0
209,2023-09-04,44900_CE,111193.0
210,2023-09-05,44900_CE,135445.0
211,2023-09-06,44900_CE,223467.0
212,2023-09-01,44900_PE,2713.0
213,2023-09-04,44900_PE,19846.0
214,2023-09-05,44900_PE,41936.0
215,2023-09-06,44900_PE,19548.0
216,2023-09-01,45000_CE,136607.0
217,2023-09-04,45000_CE,163928.0
218,2023-09-05,45000_CE,166976.0
219,2023-09-06,45000_CE,301252.0
220,2023-09-01,45000_PE,5690.0
221,2023-09-04,45000_PE,16213.0
222,2023-09-05,45000_PE,25491.0
223,2023-09-06,45000_PE,12811.0
224,2023-09-01,45100_CE,62407.0
225,2023-09-04,45100_CE,73114.0
226,2023-09-05,45100_CE,88650.0
227,2023-09-06,45100_CE,127528.0
228,2023-09-01,45100_PE,819.0
229,2023-09-04,45100_PE,1980.0
230,2023-09-05,45100_PE,3922.0
231,2023-09-06,45100_PE,2139.0
232,2023-09-01,45200_CE,59991.0
233,2023-09-04,45200_CE,69767.0
234,2023-09-05,45200_CE,77977.0
235,2023-09-06,45200_CE,110373.0
236,2023-09-01,45200_PE,609.0
237,2023-09-04,45200_PE,1382.0
238,2023-09-05,45200_PE,1949.0
239,2023-09-06,45200_PE,1206.0
240,2023-09-01,45300_CE,45899.0
241,2023-09-04,45300_CE,55474.0
242,2023-09-05,45300_CE,66526.0
243,2023-09-06,45300_CE,97482.0
244,2023-09-01,45300_PE,168.0
245,2023-09-04,45300_PE,605.0
246,2023-09-05,45300_PE,805.0
247,2023-09-06,45300_PE,398.0
248,2023-09-01,45400_CE,34113.0
249,2023-09-04,45400_CE,51559.0
250,2023-09-05,45400_CE,55810.0
251,2023-09-06,45400_CE,66219.0
252,2023-09-01,45400_PE,88.0
253,2023-09-04,45400_PE,365.0
254,2023-09-05,45400_PE,444.0
255,2023-09-06,45400_PE,246.0
256,2023-09-01,45500_CE,75916.0
257,2023-09-04,45500_CE,83215.0
258,2023-09-05,45500_CE,86052.0
259,2023-09-06,45500_CE,178508.0
260,2023-09-01,45500_PE,327.0
261,2023-09-04,45500_PE,615.0
262,2023-09-05,45500_PE,629.0
263,2023-09-06,45500_PE,351.0
264,2023-09-01,45600_CE,29157.0
265,2023-09-04,45600_CE,46424.0
266,2023-09-05,45600_CE,42135.0
267,2023-09-06,45600_CE,52689.0
268,2023-09-01,45600_PE,53.0
269,2023-09-04,45600_PE,162.0
270,2023-09-05,45600_PE,83.0
271,2023-09-06,45600_PE,125.0
272,2023-09-01,45700_CE,24277.0
273,2023-09-04,45700_CE,40905.0
274,2023-09-05,45700_CE,34824.0
275,2023-09-06,45700_CE,37249.0
276,2023-09-01,45700_PE,67.0
277,2023-09-04,45700_PE,317.0
278,2023-09-05,45700_PE,91.0
279,2023-09-06,45700_PE,158.0
280,2023-09-01,45800_CE,19807.0
281,2023-09-04,45800_CE,34524.0
282,2023-09-05,45800_CE,27736.0
283,2023-09-06,45800_CE,33249.0
284,2023-09-01,45800_PE,27.0
285,2023-09-04,45800_PE,166.0
286,2023-09-05,45800_PE,56.0
287,2023-09-06,45800_PE,81.0
288,2023-09-01,45900_CE,14840.0
289,2023-09-04,45900_CE,27485.0
290,2023-09-05,45900_CE,20973.0
291,2023-09-06,45900_CE,25533.0
292,2023-09-01,45900_PE,40.0
293,2023-09-04,45900_PE,263.0
294,2023-09-05,45900_PE,31.0
295,2023-09-06,45900_PE,166.0
296,2023-09-01,46000_CE,58862.0
297,2023-09-04,46000_CE,70192.0
298,2023-09-05,46000_CE,70467.0
299,2023-09-06,46000_CE,121991.0
300,2023-09-01,46000_PE,168.0
301,2023-09-04,46000_PE,128.0
302,2023-09-05,46000_PE,130.0
303,2023-09-06,46000_PE,414.0
304,2023-09-07,42500_CE,69.0
305,2023-09-08,42500_CE,128.0
306,2023-09-11,42500_CE,173.0
307,2023-09-12,42500_CE,39.0
308,2023-09-13,42500_CE,84.0
309,2023-09-07,42500_PE,44869.0
310,2023-09-08,42500_PE,45978.0
311,2023-09-11,42500_PE,27418.0
312,2023-09-12,42500_PE,33905.0
313,2023-09-13,42500_PE,56682.0
314,2023-09-07,42600_CE,15.0
315,2023-09-07,42600_PE,9251.0
316,2023-09-08,42600_PE,8443.0
317,2023-09-11,42600_PE,5073.0
318,2023-09-12,42600_PE,5706.0
319,2023-09-13,42600_PE,7582.0
