,candle,week_day,open_type,transition
0,CDLTASUKIGAP_UP,Wednesday,INSIDE_VA,"['D2', 'D0', 'U1', 'U3', 'U4', 'U3', 'U4', 'U3', 'U2', 'U1', 'U2', 'D0', 'D2', 'D3', 'D0', 'U1', 'U2', 'U3', 'U2', 'U1', 'U2', 'U3']"
1,CDLHIKKAKE_DN,Tuesday,BELOW_VA,"['D4', 'D5', 'D6', 'D5', 'D4', 'D5', 'D4', 'D5', 'D6', 'D5', 'D7', 'D6', 'D7', 'D8', 'D7', 'D6', 'D7', 'D6', 'D7']"
