day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read
2023-01-17,NIFTY_18000_PE,PriceBreakEMADownward,SIG_1,1,1,1673946000,1673947140,73.55,65.8,-7.75,0.0,Tuesday,1,18000_PE,0,SHORT,17956.016,18009.992,80.905,58.84,30,1,SS,1673946000,True,INSIDE_VA,11,17992.0,1.0,0.42,0.07,0.08,0.05,0.0478,-0.3169,0.9,0.96,0.5,0.5564,-0.0564,0.7,0.41,1.7158,0.4173,-8.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.19,0.08,0.73,-1,0.74,0.41,0.22,0.37,0.65,1,0.0019,0.43,1,0,0,1,0,18147.156249999818,151.22630208333183,12.70071082875104,0.14,0.31,7.107397273184911,4.785771638156866,47.35790249894653,21.47213453679999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-17 14:30:00
2023-01-13,NIFTY_18000_PE,PriceBreakEMADownward,SIG_1,1,1,1673600100,1673600940,106.65,118.05,11.4,-0.0,Friday,1,18000_PE,0,SHORT,17932.3135,17986.218249999998,117.31500000000001,85.32000000000001,30,1,IT,1673600100,True,ABOVE_VA,11,17968.25,0.47,-0.17,0.08,0.06,0.17,0.1352,-0.5952,0.81,0.91,0.49,0.5728,-0.0828,0.73,0.41,1.4819,0.3787,-31.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.55,0.14,0.31,-1,0.66,0.43,0.34,0.23,0.8,-1,0.0,-0.2,0,1,1,1,1,21526.133749999506,179.38444791666254,13.832693559502673,0.2,0.46,9.337254198474655,6.240105919673919,81.7352962189993,36.50523927070264,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2023-01-13 14:25:00
2023-01-09,NIFTY_18000_PE,PriceBreakEMADownward,SIG_1,1,1,1673253600,1673253900,61.8,52.65,-9.15,0.0,Monday,1,18000_PE,0,SHORT,17999.928,18054.035999999996,67.98,49.44,30,1,SS,1673253600,True,INSIDE_VA,10,18036.0,0.31,0.41,0.03,0.02,0.09,0.122,-0.5204,0.78,0.88,0.59,0.6558,-0.0658,0.78,0.53,1.8095,0.5105,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0.27,0.16,0.57,-1,0.61,0.47,0.08,0.45,0.68,-1,0.0,-0.45,0,1,1,1,1,18962.804999999924,158.02337499999936,12.98299913990084,0.16,0.2,5.795606168785525,5.158634041100016,31.48973518468578,24.948286096871136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-09 14:10:00
2023-01-06,NIFTY_17800_PE,PriceBreakEMADownward,SIG_1,1,1,1672996500,1672996980,91.5,79.0,-12.5,0.0,Friday,1,17800_PE,0,SHORT,17796.5356,17850.032199999998,100.65,73.2,30,1,SS,1672996500,True,INSIDE_VA,12,17832.2,0.0,-0.16,-0.17,-0.1,-0.36,0.0106,-0.2499,0.97,1.0,0.5,0.5473,-0.0473,0.71,0.39,1.1931,0.3323,32.20000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,28724.458750000238,239.3704895833353,15.979002541530066,0.15,-0.32,-9.104545139092158,6.229171697140372,-77.71194580290624,36.37741878042625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2023-01-06 14:45:00
2023-01-04,NIFTY_18100_PE,PriceBreakEMADownward,SIG_1,1,1,1672822500,1672823700,71.85,85.8,13.95,-0.0,Wednesday,1,18100_PE,0,SHORT,18048.331,18102.584499999997,79.035,57.48,30,1,IT,1672822500,True,INSIDE_VA,11,18084.5,0.24,-0.33,-0.1,-0.09,-0.12,0.0289,-0.2853,0.95,0.99,0.53,0.5708,-0.0408,0.73,0.41,1.4556,0.4051,-15.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.13,0.17,0.7,1,0.64,0.35,0.06,0.59,0.51,1,0.0,0.36,1,0,1,1,1,17287.751249999314,144.0645937499943,12.396326068637993,0.08,-0.37,-7.498023180483764,3.528582260752942,-52.706579639129856,11.672711972719071,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-04 14:25:00
2023-01-03,NIFTY_18200_PE,PriceBreakEMADownward,SIG_1,1,1,1672735500,1672736520,65.35,54.9,-10.45,0.0,Tuesday,1,18200_PE,0,SHORT,18178.3704,18233.014799999997,71.885,52.28,30,1,SS,1672735500,True,INSIDE_VA,11,18214.8,0.88,0.25,0.01,-0.02,0.11,0.1266,-0.5702,0.82,0.92,0.49,0.5638,-0.0738,0.72,0.41,1.4799,0.3717,14.799999999999272,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0.35,0.06,0.59,1,1.0,0.19,0.03,0.78,0.7,-1,0.0,-0.04,0,1,1,0,1,8377.068749999848,69.80890624999873,8.629184975032809,0.04,0.3,4.701907839044566,1.7779407675118561,20.726191243939443,2.963506286981857,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-03 14:15:00
2022-12-29,NIFTY_18100_PE,PriceBreakEMADownward,SIG_1,1,1,1672303800,1672304100,30.25,33.7,3.45,0.0,Thursday,1,18100_PE,0,SHORT,18043.5905,18097.829749999997,33.275000000000006,24.200000000000003,30,1,IT,1672303800,True,GAP_DOWN,11,18079.75,0.82,-0.09,0.03,0.02,0.05,0.0189,-0.2742,0.96,0.99,0.48,0.5205,-0.0405,0.68,0.36,1.2,0.3056,-20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0.0,0.27,1,0,1,1,0,8940.553750000243,74.50461458333535,8.914683891697509,0.33,0.09,2.699306323249997,5.084763563623995,6.830863712566327,24.238894216835806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-29 14:20:00
