day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,pattern_price,pattern_location,strength,entry_time_read
2023-01-06,NIFTY_18000_CE,FridayCandleFirst30Buy_BUY_30,SIG_1,1,1,1672983840,1672985520,84.0,93.35,9.35,0.0,Friday,1,18000_CE,0,LONG,17949.9282,17896.185899999997,92.4,42.0,30,1,IT,1672983840,True,INSIDE_VA,4,17914.1,0.0,-0.16,-0.22,-0.12,-0.5,0.0894,-0.4125,0.81,0.89,0.54,0.6009,-0.0609,0.7,0.5,1.9435,0.48,14.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,12880.93000000028,107.34108333333567,10.700334366530704,0.17,-0.19,-4.680443556650865,4.450039113648954,-20.537392394057438,18.56517010594272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17920.8, 17921.55, 17908.25, 17914.1]",11.66666666666667,100.0,2023-01-06 11:14:00
2023-01-06,NIFTY_18000_CE,FridayCandleFirst30Buy_BUY_30,SIG_2,1,1,1672984140,1672984740,86.4,78.5,-7.9,0.0,Friday,1,18000_CE,0,LONG,17959.8981,17906.125949999998,95.04000000000002,43.2,30,1,SS,1672984140,True,INSIDE_VA,5,17924.05,0.0,-0.16,-0.18,-0.1,-0.42,0.0603,-0.3296,0.84,0.91,0.54,0.5891,-0.0491,0.69,0.49,1.9391,0.4743,24.049999999999272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,12880.93000000028,107.34108333333567,10.700334366530704,0.17,-0.19,-4.680443556650865,4.450039113648954,-20.537392394057438,18.56517010594272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17915.2, 17927.95, 17913.75, 17924.05]",19.199999999999996,200.0,2023-01-06 11:19:00
2023-01-06,NIFTY_18000_CE,FridayCandleFirst30Buy_BUY_30,SIG_3,1,1,1672984740,1672985040,78.5,86.8,8.3,0.0,Friday,1,18000_CE,0,LONG,17941.9122,17888.1939,86.35000000000001,39.25,30,1,IT,1672984740,True,INSIDE_VA,5,17906.1,0.0,-0.16,-0.22,-0.12,-0.5,0.0399,-0.2732,0.91,0.97,0.51,0.5583,-0.0483,0.67,0.45,1.9187,0.4458,6.099999999998545,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,12880.93000000028,107.34108333333567,10.700334366530704,0.17,-0.19,-4.680443556650865,4.450039113648954,-20.537392394057438,18.56517010594272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17921.3, 17921.4, 17903.8, 17906.1]",17.037037037037038,100.0,2023-01-06 11:29:00
2023-01-06,NIFTY_18000_CE,FridayCandleFirst30Buy_BUY_30,SIG_4,1,1,1672985340,1672987140,90.35,89.85,-0.5,0.0,Friday,1,18000_CE,0,LONG,17966.2608,17912.4696,99.385,45.175,30,1,TC,1672985340,True,INSIDE_VA,5,17930.4,0.0,-0.16,-0.16,-0.09,-0.4,0.0594,-0.3271,0.9,0.97,0.5,0.5439,-0.0439,0.66,0.43,1.9457,0.4309,30.400000000001455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,13414.756250000342,111.78963541666953,10.919811251930174,0.17,-0.17,-4.439974762477687,4.460758741851701,-18.481289898223864,18.65472051844347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17923.85, 17933.9, 17923.1, 17930.4]",36.55172413793103,200.0,2023-01-06 11:39:00
2023-01-06,NIFTY_17900_CE,FridayCandleFirst30Buy_BUY_30,SIG_5,1,1,1672991340,1672991700,96.8,92.0,-4.8,-0.0,Friday,1,17900_CE,0,LONG,17862.654,17809.173,106.48,48.4,30,1,SS,1672991340,True,INSIDE_VA,9,17827.0,0.0,-0.16,-0.22,-0.12,-0.51,0.0296,-0.2596,0.94,0.99,0.53,0.5652,-0.0352,0.7,0.43,1.7533,0.442,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,21057.64250000008,175.48035416666735,13.681339278171752,0.18,-0.35,-8.149694096818967,5.7944319552332315,-62.266419254743056,31.476976578588754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17831.55, 17835.4, 17822.3, 17827.0]",5.306122448979589,100.0,2023-01-06 13:19:00
2023-01-06,NIFTY_17700_PE,FridayCandleFirst30Sell_BUY_30,SIG_1,1,1,1672993140,1672994040,51.95,57.65,5.7,0.0,Friday,1,17700_PE,0,SHORT,17814.1004,17867.649799999996,57.14500000000001,25.975,30,1,IT,1672993140,True,INSIDE_VA,10,17849.8,0.0,-0.16,-0.17,-0.09,-0.42,0.0643,-0.354,0.9,0.97,0.54,0.5858,-0.0458,0.71,0.46,1.8123,0.4588,49.79999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25496.90250000027,212.47418750000224,15.054538629042595,0.16,-0.36,-9.083725010555408,6.0594064560216045,-77.35693131317797,34.42163118682153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17828.45, 17851.4, 17827.05, 17849.8]",18.90909090909091,-100.0,2023-01-06 13:49:00
2023-01-06,NIFTY_18100_CE,OPTION_CHEAP_BUY_FRI,SIG_1,1,1,1672993200,1672996800,35.75,35.75,0.0,0.0,Friday,1,18100_CE,0,LONG,,,39.325,17.875,60,1,TC,1672993200,True,INSIDE_VA,10,17843.35,0.0,-0.16,-0.17,-0.09,-0.42,0.0643,-0.354,0.9,0.97,0.54,0.5858,-0.0458,0.71,0.46,1.8123,0.4588,43.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25559.757500000236,212.99797916666864,15.073083441832548,0.16,-0.36,-9.05291936097296,6.0594064560216045,-76.8331396465116,34.42163118682153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,60.0,2023-01-06 13:50:00
2023-01-06,NIFTY_18400_CE,OPTION_CHEAP_BUY_FRI,SIG_2,1,1,1672993620,1672997220,5.9,6.35,0.45,0.0,Friday,1,18400_CE,0,LONG,,,6.490000000000001,2.95,60,1,TC,1672993620,True,INSIDE_VA,10,17838.45,0.0,-0.16,-0.18,-0.1,-0.43,0.0408,-0.2982,0.94,0.99,0.54,0.5807,-0.0407,0.72,0.45,1.6827,0.4439,38.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25559.757500000236,212.99797916666864,15.073083441832548,0.16,-0.36,-9.05291936097296,6.0594064560216045,-76.8331396465116,34.42163118682153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,60.0,2023-01-06 13:57:00
2023-01-06,NIFTY_18400_CE,OPTION_CHEAP_BUY_FRI,SIG_3,1,1,1672993860,1672997460,5.85,5.6,-0.25,0.0,Friday,1,18400_CE,0,LONG,,,6.4350000000000005,2.925,60,1,TC,1672993860,True,INSIDE_VA,10,17844.2,0.0,-0.16,-0.17,-0.09,-0.4,0.041,-0.3032,0.94,0.99,0.53,0.5797,-0.0497,0.72,0.44,1.6395,0.4371,44.20000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25732.137500000314,214.4344791666693,15.123825941576882,0.16,-0.35,-8.967891741630899,6.0594064560216045,-75.39663964651096,34.42163118682153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,60.0,2023-01-06 14:01:00
2023-01-06,NIFTY_18100_CE,OPTION_CHEAP_BUY_FRI,SIG_4,1,1,1672993860,1672997460,35.6,34.05,-1.55,0.0,Friday,1,18100_CE,0,LONG,,,39.160000000000004,17.8,60,1,TC,1672993860,True,INSIDE_VA,10,17844.2,0.0,-0.16,-0.17,-0.09,-0.4,0.041,-0.3032,0.94,0.99,0.53,0.5797,-0.0497,0.72,0.44,1.6395,0.4371,44.20000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25732.137500000314,214.4344791666693,15.123825941576882,0.16,-0.35,-8.967891741630899,6.0594064560216045,-75.39663964651096,34.42163118682153,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-06 14:01:00
