day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read,exit_time_read
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674539040,1674548040,18154.25,18097.15,57.1,0.0,Tuesday,1,SPOT,0,SHORT,18099.78725,18173.1,18164.022875,18099.78725,18173.1,254.0,1,IT,18154.25,18097.15,1674539040,GAP_UP,4,18154.25,1.0,-0.05,-0.04,-0.04,-0.03,0.0145,-0.2426,0.96,0.99,0.47,0.5044,-0.0344,0.66,0.35,1.4548,0.345,-45.75,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,3697.6975000000443,30.814145833333704,5.733098832413638,0.0,-0.19,-2.466653153116229,0.0,-5.704104166667096,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 11:14:00,2023-01-24 13:44:00
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674545940,1674554280,18133.2,18105.3,27.9,0.0,Tuesday,1,SPOT,0,SHORT,18078.8004,18143.55,18134.4834,18078.8004,18143.55,139.0,1,TC,18133.2,18105.3,1674545940,GAP_UP,8,18133.2,0.92,-0.05,-0.04,-0.04,-0.05,0.0307,-0.3281,0.96,1.0,0.46,0.5165,-0.0565,0.7,0.33,0.4433,-0.0339,33.20000000000073,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,5521.369999999926,46.01141666666605,7.005629482383706,0.0,-0.32,-3.955746874274623,0.0,-14.669937500000108,0.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 13:09:00,2023-01-24 15:28:00
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1674551640,1674552600,18105.4,18130.1,-24.7,0.0,Tuesday,1,SPOT,0,SHORT,18051.0838,18127.7,18127.7,18051.0838,18127.7,44.0,1,IS,18105.4,18130.1,1674551640,GAP_UP,11,18105.4,0.67,-0.05,-0.09,-0.08,-0.11,0.0162,-0.2923,0.97,1.0,0.5,0.5538,-0.0538,0.74,0.37,0.4591,0.0188,5.400000000001455,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,8968.916250000066,74.74096875000055,8.928812911020175,0.06,-0.3,-4.854903993701968,2.1974508002630846,-22.096961988809362,4.526990643353317,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 14:44:00,2023-01-24 15:00:00
2023-01-24,NIFTY,PriceReverseBreakDownEMA,SIG_1,1,1,1674553140,1674553800,18128.85,18106.85,-22.0,0.0,Tuesday,1,SPOT,0,LONG,18183.236549999998,18110.721149999998,18110.721149999998,18183.236549999998,18110.721149999998,19.0,1,IS,18128.85,18106.85,1674553140,GAP_UP,12,18128.85,0.65,-0.05,-0.05,-0.05,-0.07,0.0448,-0.3981,0.95,0.99,0.49,0.5548,-0.0648,0.76,0.35,0.5914,0.0956,28.849999999998545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,9818.752500000104,81.82293750000086,9.34225882749996,0.11,-0.27,-4.811543322174145,3.104983399124475,-21.70401481983619,9.038364289536165,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 15:09:00,2023-01-24 15:20:00
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_4,1,-1,1674553740,1674554280,18110.9,18105.3,5.6,0.0,Tuesday,1,SPOT,0,SHORT,18056.567300000002,18134.4,18134.4,18056.567300000002,18134.4,9.0,1,TC,18110.9,18105.3,1674553740,GAP_UP,13,18110.9,0.57,-0.05,-0.07,-0.05,-0.1,0.0299,-0.351,0.96,1.0,0.49,0.5537,-0.0637,0.75,0.36,0.5534,0.0739,10.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,10052.988750000057,83.77490625000047,9.453036549172996,0.13,-0.26,-4.850213420524322,3.368887179078948,-22.054284585594605,10.640063273777354,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 15:19:00,2023-01-24 15:28:00
2023-01-23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674449640,1674458220,18148.8,18091.05,57.75,0.0,Monday,1,SPOT,0,SHORT,18094.3536,18162.6,18153.525599999997,18094.3536,18162.6,300.0,1,IT,18148.8,18091.05,1674449640,INSIDE_VA,3,18148.8,1.0,0.17,0.15,0.09,0.35,0.1896,-0.7306,0.67,0.8,0.52,0.6149,-0.0949,0.76,0.47,1.6748,0.4365,48.79999999999927,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.09,0.23,0.68,-1,0.63,0.22,0.39,0.39,0.89,-1,0.0,-0.46,1,1,1,1,1,4533.131250000336,37.7760937500028,6.347794892716918,0.0,0.7,5.312842930108283,0.0,26.46215625000146,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-23 10:24:00,2023-01-23 12:47:00
2023-01-23,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674464940,1674467880,18111.0,18106.75,4.25,0.0,Monday,1,SPOT,0,SHORT,18056.667,18136.35,18136.35,18056.667,18136.35,49.0,1,TC,18111.0,18106.75,1674464940,INSIDE_VA,11,18111.0,1.0,0.17,0.01,0.01,0.02,0.1075,-0.5257,0.87,0.95,0.47,0.5485,-0.0785,0.71,0.39,1.3635,0.3385,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.09,0.23,0.68,-1,0.63,0.22,0.39,0.39,0.89,-1,0.0,-0.46,1,1,1,1,1,9170.912500000337,76.42427083333614,9.02879960029157,0.0,0.16,3.594350505384403,0.0,12.111895833334794,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-23 14:39:00,2023-01-23 15:28:00
2023-01-20,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674192240,1674202440,18129.9,18075.45,54.45,0.0,Friday,1,SPOT,0,SHORT,18075.5103,18145.45,18136.38505,18075.5103,18145.45,274.0,1,IT,18129.9,18075.45,1674192240,INSIDE_VA,4,18129.9,0.0,0.16,0.09,0.05,0.21,-0.0053,-0.0251,0.68,0.68,0.54,0.5394,0.0006,0.57,0.51,4.4425,0.5362,29.900000000001455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0.22,0.39,0.39,-1,1.0,0.28,0.13,0.59,0.6,1,0.0,-0.39,0,0,1,0,1,3966.087500000211,33.050729166668425,5.937517251437084,0.09,0.45,3.9666054402808766,1.8296135454186542,14.75058629893673,3.1382678677307045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-20 10:54:00,2023-01-20 13:44:00
2023-01-18,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674017340,1674020280,18112.5,18133.15,-20.65,-0.0,Wednesday,1,SPOT,0,SHORT,18058.1625,18131.9,18131.9,18058.1625,18131.9,300.0,1,IS,18112.5,18133.15,1674017340,GAP_UP,3,18112.5,1.0,0.28,0.17,0.12,0.35,-0.0484,0.1,0.56,0.5,0.58,0.5607,0.0193,0.61,0.52,4.6021,0.5693,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.19,0.09,0.72,1,0.88,0.19,0.08,0.73,0.83,-1,0.0,0.84,1,0,1,1,0,5959.51250000027,49.66260416666891,7.278285817721564,0.0,0.64,5.841734902121687,0.0,31.993000000000013,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-18 10:19:00,2023-01-18 11:08:00
2023-01-18,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674024540,1674033300,18164.8,18183.0,-18.2,0.0,Wednesday,1,SPOT,0,SHORT,18110.3056,18177.45,18177.45,18110.3056,18177.45,189.0,1,IS,18164.8,18183.0,1674024540,GAP_UP,7,18164.8,0.33,0.28,0.13,0.08,0.29,0.0417,-0.3032,0.91,0.96,0.54,0.587,-0.047,0.71,0.47,1.6421,0.4425,-35.20000000000073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.19,0.09,0.72,1,0.88,0.19,0.08,0.73,0.83,-1,0.0,0.84,1,0,1,1,0,9005.19500000029,75.04329166666909,8.946852953848094,0.0,0.68,7.398972901693846,0.0,51.32324999999985,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-18 12:19:00,2023-01-18 14:45:00
2023-01-18,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1674029940,1674033300,18165.3,18183.0,-17.7,0.0,Wednesday,1,SPOT,0,SHORT,18110.804099999998,18180.4,18180.4,18110.804099999998,18180.4,99.0,1,FC,18165.3,18183.0,1674029940,GAP_UP,10,18165.3,0.2,0.28,0.07,0.04,0.17,0.0289,-0.2921,0.95,0.99,0.45,0.4996,-0.0496,0.65,0.35,1.3589,0.3133,-34.70000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.19,0.09,0.72,1,0.88,0.19,0.08,0.73,0.83,-1,0.0,0.84,1,0,1,1,0,9952.096250000268,82.9341354166689,9.405481262422468,0.0,0.62,7.390649497845209,0.0,51.207843749999675,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-18 13:49:00,2023-01-18 14:45:00
2023-01-17,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1673931240,1673931780,18001.35,18025.05,-23.7,-0.0,Tuesday,1,SPOT,0,SHORT,17947.34595,18020.0,18020.0,17947.34595,18020.0,300.0,1,IS,18001.35,18025.05,1673931240,INSIDE_VA,3,18001.35,1.0,0.42,0.28,0.27,0.3,0.1748,-0.5483,0.05,0.1,0.62,0.697,-0.077,0.76,0.63,3.2232,0.6106,1.3499999999985448,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0.19,0.08,0.73,-1,0.74,0.41,0.22,0.37,0.65,1,0.0019,0.43,1,0,0,1,0,8116.681250000082,67.63901041666735,8.49401423225665,0.0,0.99,8.465831323620908,0.0,67.19090625000086,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-17 10:24:00,2023-01-17 10:33:00
2023-01-17,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1673945940,1673946360,17985.05,18005.8,-20.75,-0.0,Tuesday,1,SPOT,0,SHORT,17931.094849999998,18001.65,18001.65,17931.094849999998,18001.65,59.0,1,IS,17985.05,18005.8,1673945940,INSIDE_VA,11,17985.05,1.0,0.42,0.07,0.08,0.05,0.0478,-0.3169,0.9,0.96,0.5,0.5564,-0.0564,0.7,0.41,1.7158,0.4173,-14.950000000000728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.19,0.08,0.73,-1,0.74,0.41,0.22,0.37,0.65,1,0.0019,0.43,1,0,0,1,0,18147.156249999818,151.22630208333183,12.70071082875104,0.14,0.31,7.107397273184911,4.785771638156866,47.35790249894653,21.47213453679999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-17 14:29:00,2023-01-17 14:36:00
2023-01-17,NIFTY,PriceReverseBreakDownEMA,SIG_1,1,1,1673947140,1673948940,18010.1,18064.8,54.7,-0.0,Tuesday,1,SPOT,0,LONG,18064.130299999997,17992.0899,17992.0899,18064.130299999997,17992.0899,39.0,1,IT,18010.1,18064.8,1673947140,INSIDE_VA,12,18010.1,1.0,0.42,0.09,0.09,0.08,0.0536,-0.3303,0.89,0.95,0.49,0.5411,-0.0511,0.69,0.4,1.752,0.4059,10.099999999998545,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.19,0.08,0.73,-1,0.74,0.41,0.22,0.37,0.65,1,0.0019,0.43,1,0,0,1,0,18398.51249999978,153.32093749999817,12.788367109734196,0.15,0.31,7.130350247444637,4.9810731070730725,47.66427623553168,23.26039621688118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-17 14:49:00,2023-01-17 15:19:00
