day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,entry_time_read
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671771000,1671771900,17927.85,17946.85,19.0,0.0,Friday,1,17963.7057,17909.92215,15,1,0,0,1671771000,True,0,GAP_DOWN,3,1.0,-0.16,-0.22,-0.17,-0.35,-0.1543,0.0232,0.99,0.97,0.46,0.4901,-0.0301,0.82,0.16,0.6625,0.1025,27.849999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 10:20:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671779400,1671780180,17907.15,17887.05,-20.1,0.0,Friday,1,17942.964300000003,17889.242850000002,15,1,-1,0,1671779400,True,0,GAP_DOWN,7,0.2,-0.16,-0.11,-0.09,-0.18,-0.0141,-0.2302,0.98,0.99,0.51,0.556,-0.046,0.76,0.35,0.539,0.0765,7.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 12:40:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671780000,1671780900,17903.2,17910.3,7.1,0.0,Friday,1,17939.006400000002,17885.2968,15,1,0,0,1671780000,True,0,GAP_DOWN,8,0.18,-0.16,-0.12,-0.09,-0.18,0.006,-0.2835,0.96,0.99,0.5,0.558,-0.058,0.75,0.36,0.5352,0.0708,3.2000000000007276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 12:50:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671784500,1671785400,17849.4,17845.15,-4.25,0.0,Friday,1,17885.0988,17831.550600000002,15,1,0,0,1671784500,True,0,GAP_DOWN,10,0.12,-0.16,-0.11,-0.1,-0.15,-0.0128,-0.2127,0.98,1.0,0.49,0.5288,-0.0388,0.72,0.34,0.4617,0.0018,49.400000000001455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 14:05:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1671785100,1671786000,17832.85,17866.45,33.6,0.0,Friday,1,17868.5157,17815.01715,15,1,0,0,1671785100,True,0,GAP_DOWN,11,0.12,-0.16,-0.13,-0.12,-0.18,-0.0002,-0.2404,0.98,1.0,0.49,0.534,-0.044,0.71,0.35,0.4345,-0.0153,32.849999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 14:15:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_6,1,1,1671786000,1671786900,17866.45,17853.55,-12.9,0.0,Friday,1,17902.1829,17848.58355,15,1,0,0,1671786000,True,0,GAP_DOWN,11,0.12,-0.16,-0.11,-0.1,-0.13,-0.0071,-0.2075,0.98,1.0,0.49,0.5263,-0.0363,0.7,0.36,0.3866,-0.0582,-33.54999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 14:30:00
2022-12-23,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_7,1,1,1671787800,1671788100,17829.6,17802.65,-26.95,0.0,Friday,1,17865.259199999997,17811.770399999998,15,1,-1,0,1671787800,True,0,GAP_DOWN,12,0.11,-0.16,-0.13,-0.11,-0.18,-0.0157,-0.2206,0.98,0.99,0.47,0.5215,-0.0515,0.71,0.33,0.5166,0.0287,29.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,0.7,-1,0.62,0.14,0.12,0.74,0.5,-1,0.0,-0.94,0,1,1,0,1,2022-12-23 15:00:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671682800,1671683460,18245.0,18205.95,-39.05,0.0,Thursday,1,18281.49,18226.755,15,1,-1,0,1671682800,True,0,INSIDE_VA,2,0.0,-0.21,0.0,-0.25,-0.08,,,,,,,,,,,,45.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,2022-12-22 09:50:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671683400,1671683460,18234.85,18205.95,-28.9,0.0,Thursday,1,18271.3197,18216.615149999998,15,1,-1,0,1671683400,True,0,INSIDE_VA,2,0.0,-0.21,0.0,-0.22,-0.17,,,,,,,,,,,,34.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,2022-12-22 10:00:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671684300,1671685020,18159.8,18134.55,-25.25,0.0,Thursday,1,18196.119599999998,18141.640199999998,15,1,-1,0,1671684300,True,0,INSIDE_VA,3,1.0,-0.3,-0.35,-0.33,-0.4,0.0531,-0.6111,0.86,0.89,0.36,0.4931,-0.1331,0.76,0.23,0.7118,0.0371,-40.20000000000073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,2022-12-22 10:15:00
