day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,t_2_high,t_2_low,t_2_va_h_p,t_2_va_l_p,t_2_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,cd_support_pressure,cd_resistance_pressure,cd_new_business_pressure,cd_type,cd_retest_fract,ad_support_pressure,ad_resistance_pressure,ad_new_business_pressure,ad_retest_fract,ad_type,gap,cd_close_rat,high,low,poc_price,va_h_p,va_l_p,entry_time_read
2022-12-02,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1669954440,1669955040,18713.15,18713.5,0.35,0.0,Friday,1,18750.5763,18694.436850000002,10,1,0,0,1669954440,True,0,-0.31,0,-0.21,-0.62,GAP_DOWN,1,0,13.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.14,0.65,-1,0.35,0.05,0.18,0.77,0.19,1,0.003,0.84,1,0,0,0,0,2022-12-02 09:44:00
2022-11-17,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1668658440,1668659040,18374.35,18383.7,9.35,0.0,Thursday,1,18411.0987,18355.97565,10,1,0,0,1668658440,True,0,0.03,0,0.12,-0.25,BELOW_VA,1,0,-25.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.39,0.06,1,0.86,0.55,0.06,0.39,0.57,1,0.0,0.37,1,0,1,1,0,2022-11-17 09:44:00
2022-11-11,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1668140040,1668140640,18294.1,18310.85,16.75,-0.0,Friday,1,18330.688199999997,18275.8059,10,1,0,0,1668140040,True,0,-0.03,0,-0.04,0.0,GAP_UP,1,0,-5.900000000001455,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,2022-11-11 09:44:00
2022-10-20,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1666239240,1666239840,17436.55,17473.45,36.9,-0.0,Thursday,1,17471.4231,17419.11345,10,1,1,0,1666239240,True,0,-0.12,0,-0.12,-0.12,GAP_DOWN,1,0,36.54999999999927,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.29,0.39,-1,0.41,0.05,0.4,0.55,0.59,1,0.0023,0.21,1,0,1,1,1,2022-10-20 09:44:00
2022-10-07,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1665116040,1665116640,17258.65,17301.0,42.35,-0.0,Friday,1,17293.1673,17241.39135,10,1,1,0,1665116040,True,0,-0.19,0,-0.12,-0.38,GAP_DOWN,1,0,-41.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.44,0.52,-1,0.0,0.18,0.05,0.77,0.0,1,0.0053,0.5,0,0,0,0,0,2022-10-07 09:44:00
2022-08-18,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1660796040,1660796640,17921.1,17935.8,14.7,-0.0,Thursday,1,17956.942199999998,17903.1789,10,1,0,0,1660796040,True,0,0.0,0,0.0,0.0,BELOW_VA,1,0,21.099999999998545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.28,0.46,1,0.04,0.44,0.14,0.42,0.08,1,0.0016,0.7,1,0,0,1,0,2022-08-18 09:44:00
2022-08-05,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1659672840,1659673440,17417.85,17434.8,16.95,0.0,Friday,1,17452.685699999998,17400.432149999997,10,1,0,0,1659672840,True,0,0.12,0,0.12,0.12,ABOVE_VA,1,0,17.849999999998545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.08,0.3,-1,0.55,0.68,0.08,0.24,1.0,1,0.0032,0.54,1,1,1,1,1,2022-08-05 09:44:00
