day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,entry_time_read
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1672286700,1672287240,18029.9,18010.8,19.1,-0.0,Thursday,1,18011.8701,18047.9299,15,1,1,0,1672286700,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,29.900000000001455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672286700,[18029.9],-100,2022-12-29 09:35:00
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1672286760,1672287240,18031.35,18010.8,20.55,-0.0,Thursday,1,18013.318649999997,18049.381349999996,15,1,1,0,1672286760,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,31.349999999998545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672286760,[18031.35],-100,2022-12-29 09:36:00
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1672286940,1672287240,18028.9,18010.8,18.1,-0.0,Thursday,1,18010.8711,18046.9289,15,1,1,0,1672286940,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,28.900000000001455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672286940,[18028.9],-100,2022-12-29 09:39:00
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1672287000,1672287900,18021.45,18013.45,8.0,-0.0,Thursday,1,18003.42855,18039.471449999997,15,1,0,0,1672287000,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,21.450000000000728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672287000,[18021.45],-100,2022-12-29 09:40:00
2022-12-28,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1672199940,1672200180,18089.8,18114.0,-24.2,-0.0,Wednesday,1,18071.710199999998,18107.889799999997,15,1,-1,0,1672199940,True,0.0,0,0.0,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-10.200000000000728,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672199940,[18089.8],-100,2022-12-28 09:29:00
2022-12-28,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1672200000,1672200180,18095.9,18114.0,-18.1,-0.0,Wednesday,1,18077.8041,18113.995899999998,15,1,-1,0,1672200000,True,0.0,0,0.0,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-4.099999999998545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672200000,[18095.9],-100,2022-12-28 09:30:00
2022-12-28,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1672200660,1672201440,18115.85,18134.1,-18.25,0.0,Wednesday,1,18097.73415,18133.965849999997,15,1,-1,0,1672200660,True,0.03,0,0.0,0.12,INSIDE_VA,1,0,0,-100,-100,-100,0,15.849999999998545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1672200660,[18115.85],-100,2022-12-28 09:41:00
2022-12-28,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1672200720,1672201440,18113.35,18134.1,-20.75,0.0,Wednesday,1,18095.23665,18131.463349999998,15,1,-1,0,1672200720,True,0.03,0,0.0,0.12,INSIDE_VA,1,0,0,-100,-100,-100,0,13.349999999998545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1672200720,[18113.35],-100,2022-12-28 09:42:00
2022-12-28,NIFTY,BEAR_TREND_5_SELL_15,SIG_5,1,1672200780,1672201440,18112.85,18134.1,-21.25,0.0,Wednesday,1,18094.737149999997,18130.962849999996,15,1,-1,0,1672200780,True,0.03,0,0.0,0.12,INSIDE_VA,1,0,0,-100,-100,-100,0,12.849999999998545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1672200780,[18112.85],-100,2022-12-28 09:43:00
2022-12-28,NIFTY,BEAR_TREND_5_SELL_15,SIG_6,1,1672200840,1672201740,18116.55,18132.05,-15.5,0.0,Wednesday,1,18098.43345,18134.666549999998,15,1,0,0,1672200840,True,0.03,0,0.0,0.12,INSIDE_VA,1,0,0,-100,-100,-100,0,16.549999999999272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1672200840,[18116.55],-100,2022-12-28 09:44:00
2022-12-27,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1672113540,1672113600,18064.0,18038.25,25.75,-0.0,Tuesday,1,18045.936,18082.064,15,1,1,0,1672113540,True,-0.19,0,-0.17,-0.25,GAP_UP,1,0,0,-100,-100,-100,0,-36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672113540,[18064.0],-100,2022-12-27 09:29:00
2022-12-27,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1672113600,1672113720,18038.25,18016.0,22.25,-0.0,Tuesday,1,18020.21175,18056.288249999998,15,1,1,0,1672113600,True,-0.19,0,-0.17,-0.25,GAP_UP,1,0,0,-100,-100,-100,0,38.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1672113600,[18038.25],-100,2022-12-27 09:30:00
2022-12-23,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1671767940,1671768000,17977.25,18005.5,-28.25,0.0,Friday,1,17959.27275,17995.227249999996,15,1,-1,0,1671767940,True,-0.25,0,-0.25,-0.25,GAP_DOWN,1,0,0,-100,-100,-100,0,-22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1671767940,[17977.25],-100,2022-12-23 09:29:00
2022-12-23,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1671768000,1671768180,18005.5,18028.5,-23.0,0.0,Friday,1,17987.4945,18023.5055,15,1,-1,0,1671768000,True,-0.25,0,-0.25,-0.25,GAP_DOWN,1,0,0,-100,-100,-100,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1671768000,[18005.5],-100,2022-12-23 09:30:00
2022-12-23,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1671768060,1671768180,18000.7,18028.5,-27.8,0.0,Friday,1,17982.6993,18018.700699999998,15,1,-1,0,1671768060,True,-0.09,0,-0.12,0.0,GAP_DOWN,1,0,0,-100,-100,-100,0,0.7000000000007276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671768060,[18000.7],-100,2022-12-23 09:31:00
2022-12-23,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1671768120,1671769020,18017.95,18006.3,11.65,0.0,Friday,1,17999.93205,18035.96795,15,1,0,0,1671768120,True,-0.09,0,-0.12,0.0,GAP_DOWN,1,0,0,-100,-100,-100,0,17.950000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671768120,[18017.95],-100,2022-12-23 09:32:00
2022-12-23,NIFTY,BEAR_TREND_5_SELL_15,SIG_5,1,1671768180,1671768960,18028.5,18007.85,20.65,0.0,Friday,1,18010.4715,18046.528499999997,15,1,1,0,1671768180,True,0.03,0,0.0,0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671768180,[18028.5],-100,2022-12-23 09:33:00
2022-12-23,NIFTY,BEAR_TREND_5_SELL_15,SIG_6,1,1671768240,1671769080,18016.75,17991.9,24.85,0.0,Friday,1,17998.73325,18034.76675,15,1,1,0,1671768240,True,0.03,0,0.0,0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671768240,[18016.75],-100,2022-12-23 09:34:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1671681540,1671682080,18201.55,18173.25,28.3,0.0,Thursday,1,18183.348449999998,18219.751549999997,15,1,1,0,1671681540,True,-0.56,0,-0.67,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,1.5499999999992724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671681540,[18201.55],-100,2022-12-22 09:29:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1671681600,1671682080,18198.7,18173.25,25.45,0.0,Thursday,1,18180.5013,18216.898699999998,15,1,1,0,1671681600,True,-0.56,0,-0.67,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,-1.2999999999992724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671681600,[18198.7],-100,2022-12-22 09:30:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1671681660,1671681960,18211.25,18192.55,18.7,0.0,Thursday,1,18193.03875,18229.461249999997,15,1,1,0,1671681660,True,-0.41,0,-0.5,-0.12,INSIDE_VA,1,0,0,-100,-100,-100,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671681660,[18211.25],-100,2022-12-22 09:31:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1671681720,1671682080,18204.1,18173.25,30.85,0.0,Thursday,1,18185.8959,18222.304099999998,15,1,1,0,1671681720,True,-0.41,0,-0.5,-0.12,INSIDE_VA,1,0,0,-100,-100,-100,0,4.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671681720,[18204.1],-100,2022-12-22 09:32:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_5,1,1671681900,1671682020,18207.85,18189.4,18.45,0.0,Thursday,1,18189.64215,18226.057849999997,15,1,1,0,1671681900,True,-0.44,0,-0.5,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,7.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671681900,[18207.85],-100,2022-12-22 09:35:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_6,1,1671681960,1671682080,18192.55,18173.25,19.3,0.0,Thursday,1,18174.35745,18210.74255,15,1,1,0,1671681960,True,-0.44,0,-0.5,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,-7.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671681960,[18192.55],-100,2022-12-22 09:36:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_7,1,1671682020,1671682500,18189.4,18208.95,-19.55,0.0,Thursday,1,18171.210600000002,18207.5894,15,1,-1,0,1671682020,True,-0.5,0,-0.5,-0.5,INSIDE_VA,1,0,0,-100,-100,-100,0,-10.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671682020,[18189.4],-100,2022-12-22 09:37:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_8,1,1671682080,1671682320,18173.25,18196.3,-23.05,0.0,Thursday,1,18155.07675,18191.423249999996,15,1,-1,0,1671682080,True,-0.5,0,-0.5,-0.5,INSIDE_VA,1,0,0,-100,-100,-100,0,-26.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1671682080,[18173.25],-100,2022-12-22 09:38:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_9,1,1671682380,1671682500,18184.95,18208.95,-24.0,0.0,Thursday,1,18166.76505,18203.13495,15,1,-1,0,1671682380,True,-0.44,0,-0.42,-0.5,INSIDE_VA,1,0,0,-100,-100,-100,0,-15.049999999999272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1671682380,[18184.95],-100,2022-12-22 09:43:00
2022-12-22,NIFTY,BEAR_TREND_5_SELL_15,SIG_10,1,1671682440,1671682620,18191.75,18214.35,-22.6,0.0,Thursday,1,18173.55825,18209.941749999998,15,1,-1,0,1671682440,True,-0.44,0,-0.42,-0.5,INSIDE_VA,1,0,0,-100,-100,-100,0,-8.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1671682440,[18191.75],-100,2022-12-22 09:44:00
2022-12-21,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1671595140,1671595440,18453.4,18430.75,22.65,0.0,Wednesday,1,18434.946600000003,18471.8534,15,1,1,0,1671595140,True,0.0,0,0.0,0.0,GAP_UP,1,0,0,-100,-100,-100,0,-46.599999999998545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671595140,[18453.4],-100,2022-12-21 09:29:00
2022-12-21,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1671595200,1671595440,18458.45,18430.75,27.7,0.0,Wednesday,1,18439.991550000002,18476.90845,15,1,1,0,1671595200,True,0.0,0,0.0,0.0,GAP_UP,1,0,0,-100,-100,-100,0,-41.54999999999927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671595200,[18458.45],-100,2022-12-21 09:30:00
2022-12-20,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1671508740,1671508860,18295.4,18269.45,25.95,-0.0,Tuesday,1,18277.104600000002,18313.6954,15,1,1,0,1671508740,True,-0.38,0,-0.42,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,-4.599999999998545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671508740,[18295.4],-100,2022-12-20 09:29:00
2022-12-20,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1671508800,1671509040,18284.35,18256.95,27.4,-0.0,Tuesday,1,18266.065649999997,18302.634349999997,15,1,1,0,1671508800,True,-0.38,0,-0.42,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,-15.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671508800,[18284.35],-100,2022-12-20 09:30:00
2022-12-20,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1671509580,1671510420,18249.15,18230.4,18.75,-0.0,Tuesday,1,18230.90085,18267.39915,15,1,1,0,1671509580,True,-0.44,0,-0.42,-0.5,INSIDE_VA,1,0,0,-100,-100,-100,0,49.150000000001455,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1671509580,[18249.15],-100,2022-12-20 09:43:00
2022-12-20,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1671509640,1671510300,18255.9,18231.1,24.8,-0.0,Tuesday,1,18237.6441,18274.155899999998,15,1,1,0,1671509640,True,-0.44,0,-0.42,-0.5,INSIDE_VA,1,0,0,-100,-100,-100,0,-44.099999999998545,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1671509640,[18255.9],-100,2022-12-20 09:44:00
2022-12-19,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1671422460,1671422640,18274.1,18302.5,-28.4,-0.0,Monday,1,18255.8259,18292.374099999997,15,1,-1,0,1671422460,True,-0.11,0,-0.06,-0.25,BELOW_VA,1,0,0,-100,-100,-100,0,-25.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671422460,[18274.1],-100,2022-12-19 09:31:00
2022-12-19,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1671422520,1671422700,18289.4,18309.3,-19.9,-0.0,Monday,1,18271.1106,18307.6894,15,1,-1,0,1671422520,True,-0.11,0,-0.06,-0.25,BELOW_VA,1,0,0,-100,-100,-100,0,-10.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671422520,[18289.4],-100,2022-12-19 09:32:00
2022-12-15,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1671076740,1671076920,18612.2,18589.5,22.7,0.0,Thursday,1,18593.5878,18630.8122,15,1,1,0,1671076740,True,-0.19,0,-0.17,-0.25,GAP_DOWN,1,0,0,-100,-100,-100,0,12.200000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671076740,[18612.2],-100,2022-12-15 09:29:00
2022-12-15,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1671076800,1671076980,18604.35,18584.95,19.4,0.0,Thursday,1,18585.745649999997,18622.954349999996,15,1,1,0,1671076800,True,-0.19,0,-0.17,-0.25,GAP_DOWN,1,0,0,-100,-100,-100,0,4.349999999998545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671076800,[18604.35],-100,2022-12-15 09:30:00
2022-12-14,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1670990340,1670990880,18674.75,18694.15,-19.4,0.0,Wednesday,1,18656.07525,18693.42475,15,1,-1,0,1670990340,True,-0.06,0,-0.08,0.0,GAP_UP,1,0,0,-100,-100,-100,0,-25.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1670990340,[18674.75],-100,2022-12-14 09:29:00
2022-12-14,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1670990400,1670990820,18673.1,18692.4,-19.3,0.0,Wednesday,1,18654.4269,18691.773099999995,15,1,-1,0,1670990400,True,-0.06,0,-0.08,0.0,GAP_UP,1,0,0,-100,-100,-100,0,-26.900000000001455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1670990400,[18673.1],-100,2022-12-14 09:30:00
2022-12-14,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1670990580,1670991480,18686.15,18683.8,2.35,0.0,Wednesday,1,18667.46385,18704.83615,15,1,0,0,1670990580,True,0.03,0,0.0,0.12,GAP_UP,1,0,0,-100,-100,-100,0,-13.849999999998545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1670990580,[18686.15],-100,2022-12-14 09:33:00
2022-12-14,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1670990640,1670991540,18685.4,18685.65,-0.25,0.0,Wednesday,1,18666.714600000003,18704.0854,15,1,0,0,1670990640,True,0.03,0,0.0,0.12,GAP_UP,1,0,0,-100,-100,-100,0,-14.599999999998545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1670990640,[18685.4],-100,2022-12-14 09:34:00
