day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674537900,1674539700.0,18158.85,18146.1,12.75,0.0,Tuesday,1,SPOT,0,SHORT,18104.37345,18171.25,18104.37345,18171.25,30.0,1,TC,1674537900,True,GAP_UP,4,18158.85,1.0,-0.05,-0.01,-0.01,0.0,0.0001,-0.2362,0.97,0.99,0.51,0.5458,-0.0358,0.73,0.36,0.4176,-0.0103,-41.150000000001455,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,3697.6975000000443,30.814145833333704,5.733098832413638,0.0,-0.19,-2.466653153116229,0.0,-5.704104166667096,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 10:55:00
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_1,2,-1,1674537900,1674540600.0,18158.85,18143.2,15.65,0.0,Tuesday,2,SPOT,0,SHORT,18086.2146,18195.167699999998,18086.2146,18195.167699999998,45.0,1,TC,1674537900,True,GAP_UP,4,18158.85,1.0,-0.05,-0.01,-0.01,0.0,0.0001,-0.2362,0.97,0.99,0.51,0.5458,-0.0358,0.73,0.36,0.4176,-0.0103,-41.150000000001455,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,3697.6975000000443,30.814145833333704,5.733098832413638,0.0,-0.19,-2.466653153116229,0.0,-5.704104166667096,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 10:55:00
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1674546000,1674547800.0,18129.4,18105.2,24.2,0.0,Tuesday,1,SPOT,0,SHORT,18075.0118,18143.55,18075.0118,18143.55,30.0,1,TC,1674546000,True,GAP_UP,8,18129.4,0.92,-0.05,-0.04,-0.04,-0.05,0.0307,-0.3281,0.96,1.0,0.46,0.5165,-0.0565,0.7,0.33,0.4433,-0.0339,29.400000000001455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,5521.369999999926,46.01141666666605,7.005629482383706,0.0,-0.32,-3.955746874274623,0.0,-14.669937500000108,0.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 13:10:00
2023-01-24,NIFTY,PriceBreakEMADownward,SIG_2,2,-1,1674546000,1674548700.0,18129.4,18081.55,47.85,0.0,Tuesday,2,SPOT,0,SHORT,18056.882400000002,18165.6588,18056.882400000002,18165.6588,45.0,1,TC,1674546000,True,GAP_UP,8,18129.4,0.92,-0.05,-0.04,-0.04,-0.05,0.0307,-0.3281,0.96,1.0,0.46,0.5165,-0.0565,0.7,0.33,0.4433,-0.0339,29.400000000001455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.43,0.45,0.12,-1,0.83,0.09,0.23,0.68,0.63,-1,0.0,0.03,1,0,1,1,1,5521.369999999926,46.01141666666605,7.005629482383706,0.0,-0.32,-3.955746874274623,0.0,-14.669937500000108,0.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-24 13:10:00
2023-01-23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674452700,1674454500.0,18135.95,18137.0,-1.05,0.0,Monday,1,SPOT,0,SHORT,18081.54215,18151.45,18081.54215,18151.45,30.0,1,TC,1674452700,True,INSIDE_VA,5,18135.95,1.0,0.17,0.07,0.04,0.17,0.1359,-0.6461,0.84,0.92,0.42,0.5142,-0.0942,0.69,0.34,0.9823,0.1984,35.95000000000073,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.09,0.23,0.68,-1,0.63,0.22,0.39,0.39,0.89,-1,0.0,-0.46,1,1,1,1,1,4886.786250000394,40.723218750003284,6.590758681669623,0.0,0.58,5.008263171998956,0.0,23.515031250000977,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-23 11:15:00
2023-01-23,NIFTY,PriceBreakEMADownward,SIG_1,2,-1,1674452700,1674455400.0,18135.95,18129.8,6.15,0.0,Monday,2,SPOT,0,SHORT,18063.4062,18172.2219,18063.4062,18172.2219,45.0,1,TC,1674452700,True,INSIDE_VA,5,18135.95,1.0,0.17,0.07,0.04,0.17,0.1359,-0.6461,0.84,0.92,0.42,0.5142,-0.0942,0.69,0.34,0.9823,0.1984,35.95000000000073,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.09,0.23,0.68,-1,0.63,0.22,0.39,0.39,0.89,-1,0.0,-0.46,1,1,1,1,1,4886.786250000394,40.723218750003284,6.590758681669623,0.0,0.58,5.008263171998956,0.0,23.515031250000977,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-23 11:15:00
2023-01-20,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674198900,1674200700.0,18083.75,18102.6,-18.85,0.0,Friday,1,SPOT,0,SHORT,18029.49875,18107.8,18029.49875,18107.8,30.0,1,TC,1674198900,True,INSIDE_VA,8,18083.75,0.73,0.16,-0.04,-0.04,-0.05,-0.0587,-0.0723,0.99,0.98,0.49,0.5077,-0.0177,0.68,0.33,0.4145,-0.0341,-16.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0.22,0.39,0.39,-1,1.0,0.28,0.13,0.59,0.6,1,0.0,-0.39,0,0,1,0,1,5926.753750000389,49.389614583336574,7.258254304966106,0.18,0.15,2.8402708391221845,3.1110562155826234,7.562942287094848,9.07375385298307,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-20 12:45:00
2023-01-20,NIFTY,PriceBreakEMADownward,SIG_1,2,-1,1674198900,1674201600.0,18083.75,18090.35,-6.6,0.0,Friday,2,SPOT,0,SHORT,18011.415,18119.9175,18011.415,18119.9175,45.0,1,TC,1674198900,True,INSIDE_VA,8,18083.75,0.73,0.16,-0.04,-0.04,-0.05,-0.0587,-0.0723,0.99,0.98,0.49,0.5077,-0.0177,0.68,0.33,0.4145,-0.0341,-16.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0.22,0.39,0.39,-1,1.0,0.28,0.13,0.59,0.6,1,0.0,-0.39,0,0,1,0,1,5926.753750000389,49.389614583336574,7.258254304966106,0.18,0.15,2.8402708391221845,3.1110562155826234,7.562942287094848,9.07375385298307,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-20 12:45:00
2023-01-19,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1674109800,1674111600.0,18123.1,18137.5,-14.4,0.0,Thursday,1,SPOT,0,SHORT,18068.7307,18141.0,18068.7307,18141.0,30.0,1,TC,1674109800,True,BELOW_VA,6,18123.1,1.0,-0.09,0.04,0.02,0.11,-0.0771,-0.0647,0.99,0.98,0.45,0.4798,-0.0298,0.69,0.27,0.5444,0.0158,23.099999999998545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.28,0.13,0.59,1,0.26,0.19,0.09,0.72,0.21,1,0.0001,1.02,1,0,0,1,0,8010.8475000001645,66.75706250000137,8.438455624895754,0.11,0.1,2.724476282952234,2.857704741169662,6.958847827846146,7.6560716134720925,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2023-01-19 12:00:00
2023-01-19,NIFTY,PriceBreakEMADownward,SIG_1,2,-1,1674109800,1674112500.0,18123.1,18120.0,3.1,0.0,Thursday,2,SPOT,0,SHORT,18050.6076,18159.3462,18050.6076,18159.3462,45.0,1,TC,1674109800,True,BELOW_VA,6,18123.1,1.0,-0.09,0.04,0.02,0.11,-0.0771,-0.0647,0.99,0.98,0.45,0.4798,-0.0298,0.69,0.27,0.5444,0.0158,23.099999999998545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.28,0.13,0.59,1,0.26,0.19,0.09,0.72,0.21,1,0.0001,1.02,1,0,0,1,0,8010.8475000001645,66.75706250000137,8.438455624895754,0.11,0.1,2.724476282952234,2.857704741169662,6.958847827846146,7.6560716134720925,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2023-01-19 12:00:00
