,open,high,low,close,poc_price,va_l_p,va_l_poc_mid,va_l_low_mid,va_h_poc_mid,va_h_high_mid,va_h_p,balance_target,open_tpo,high_tpo,low_tpo,close_tpo,poc_price_tpo,va_l_p_tpo,va_l_poc_mid_tpo,va_l_low_mid_tpo,va_h_poc_mid_tpo,va_h_high_mid_tpo,va_h_p_tpo,balance_target_tpo,open_type,close_type,prev_week_close_to_open,weekly_close_to_close,weekly_open_to_close,weekly_close_to_high,weekly_close_to_low,start_date
0,0,0,43,87,0,15,0,132,0,0,0,0,0.0,0.0,13.0,12.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,GAP_DOWN,INSIDE_VA,-0.007519108306627054,0.005147994490403818,0.012763069700433505,0.006395658570651941,-0.01874808502885905,2022-12-23 09:15:00
1,0,0,130,70,0,2,0,31,0,0,0,0,0.0,0.0,18.0,13.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,GAP_DOWN,GAP_DOWN,-0.004131535028349953,-0.015289397720045006,-0.011204153042452925,0.004253850210110377,-0.017749291931003386,2022-12-16 09:15:00
2,0,0,62,33,32,140,38,89,68,0,103,137,0.0,0.0,16.0,10.0,10.0,13.0,10.0,15.0,8.0,0.0,8.0,16.0,INSIDE_VA,GAP_DOWN,0.0026513655741537967,-0.011709526380684565,-0.014322916666666852,0.004461923220536068,-0.01436357824214718,2022-12-09 09:15:00
3,0,0,0,0,118,0,9,0,133,1,98,0,0.0,0.0,0.0,0.0,23.0,0.0,11.0,0.0,16.0,0.0,15.0,0.0,ABOVE_VA,INSIDE_VA,-0.0025770111457724676,-0.009988910075874213,-0.007431048825750408,-0.0010052736977316235,-0.01449136608185253,2022-12-02 09:15:00
4,1,17,0,18,0,0,0,0,0,1,0,0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GAP_UP,GAP_UP,0.0007561661296986433,0.015468998538978873,0.014701715469993326,0.020154527949790557,-0.008039666314689442,2022-11-25 09:15:00
5,119,2,99,16,27,68,28,67,73,1,31,94,15.0,2.0,15.0,7.0,6.0,10.0,7.0,15.0,7.0,5.0,5.0,15.0,INSIDE_VA,GAP_UP,0.0027027174446638824,0.009875418634841315,0.007153367658618404,0.010707233791876991,-0.010911778502623815,2022-11-18 09:15:00
6,0,3,0,0,0,0,0,0,0,0,0,187,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,GAP_UP,GAP_UP,0.013079070437918672,0.0164638828594319,0.0033411137593140072,0.02249333987564084,0.012358307760119036,2022-11-11 09:15:00
7,0,77,0,123,35,0,14,0,30,38,58,0,0.0,13.0,0.0,13.0,7.0,1.0,13.0,0.0,11.0,13.0,13.0,0.0,INSIDE_VA,INSIDE_VA,0.00030751585368915535,-0.0006316541859555658,-0.0009388813187544143,0.013771723501691424,-0.004346778148089481,2022-11-04 09:15:00
8,0,41,0,61,0,0,0,0,0,57,45,16,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,ABOVE_VA,GAP_UP,-0.0001182532308471318,0.01629360587887474,0.016413800094613684,0.02366472393501695,-0.0019596249683250244,2022-10-28 09:15:00
9,0,16,0,20,0,0,0,0,18,11,25,0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,6.0,0.0,GAP_UP,GAP_UP,0.0033448909992541687,0.011068030812851237,0.007697392873456943,0.014085549501540173,-0.0024681025500878917,2022-10-21 09:15:00
