day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,entry_time_read
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1672286700,1672287240,18029.9,18010.8,19.1,-0.0,Thursday,1,18011.8701,18047.9299,15,1,1,0,1672286700,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,29.900000000001455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672286700,[18029.9],-100,2022-12-29 09:35:00
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1672286760,1672287240,18031.35,18010.8,20.55,-0.0,Thursday,1,18013.318649999997,18049.381349999996,15,1,1,0,1672286760,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,31.349999999998545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672286760,[18031.35],-100,2022-12-29 09:36:00
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1672286940,1672287240,18028.9,18010.8,18.1,-0.0,Thursday,1,18010.8711,18046.9289,15,1,1,0,1672286940,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,28.900000000001455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672286940,[18028.9],-100,2022-12-29 09:39:00
2022-12-29,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1672287000,1672287900,18021.45,18013.45,8.0,-0.0,Thursday,1,18003.42855,18039.471449999997,15,1,0,0,1672287000,True,-0.07,0,-0.05,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,21.450000000000728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1672287000,[18021.45],-100,2022-12-29 09:40:00
