day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pattern_time,pattern_price,strength,strike,kind,money_ness,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,entry_time_read
2023-01-06,NIFTY_18100_CE,OPTION_CHEAP_BUY_FRI,SIG_1,1,1,1672993200,1672996800,35.75,35.75,0.0,0.0,Friday,1,18100_CE,39.325,17.875,60,1,0,0,1672993200,True,0,INSIDE_VA,10,17849.8,0.0,-0.16,-0.17,-0.09,-0.42,0.0643,-0.354,0.9,0.97,0.54,0.5858,-0.0458,0.71,0.46,1.8123,0.4588,49.79999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25496.90250000027,212.47418750000224,15.054538629042595,0.16,-0.36,-9.083725010555408,6.0594064560216045,-77.35693131317797,34.42163118682153,[1672993200],"[[0, 0, 0, 0]]",60,18100,CE,OTM_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-01-06 13:50:00
2023-01-06,NIFTY_18400_CE,OPTION_CHEAP_BUY_FRI,SIG_2,1,1,1672993620,1672997220,5.9,6.35,0.45,0.0,Friday,1,18400_CE,6.490000000000001,2.95,60,1,0,0,1672993620,True,0,INSIDE_VA,10,17840.6,0.0,-0.16,-0.18,-0.1,-0.43,0.0408,-0.2982,0.94,0.99,0.54,0.5807,-0.0407,0.72,0.45,1.6827,0.4439,40.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25559.757500000236,212.99797916666864,15.073083441832548,0.16,-0.36,-9.05291936097296,6.0594064560216045,-76.8331396465116,34.42163118682153,[1672993620],"[[0, 0, 0, 0]]",60,18400,CE,OTM_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-01-06 13:57:00
2023-01-06,NIFTY_18400_CE,OPTION_CHEAP_BUY_FRI,SIG_3,1,1,1672993860,1672997460,5.85,5.6,-0.25,0.0,Friday,1,18400_CE,6.4350000000000005,2.925,60,1,0,0,1672993860,True,0,INSIDE_VA,10,17853.2,0.0,-0.16,-0.18,-0.1,-0.43,0.0408,-0.2982,0.94,0.99,0.54,0.5807,-0.0407,0.72,0.45,1.6827,0.4439,-46.79999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25559.757500000236,212.99797916666864,15.073083441832548,0.16,-0.36,-9.05291936097296,6.0594064560216045,-76.8331396465116,34.42163118682153,[1672993860],"[[0, 0, 0, 0]]",60,18400,CE,OTM_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-01-06 14:01:00
2023-01-06,NIFTY_18100_CE,OPTION_CHEAP_BUY_FRI,SIG_4,1,1,1672993860,1672997460,35.6,34.05,-1.55,0.0,Friday,1,18100_CE,39.160000000000004,17.8,60,1,0,0,1672993860,True,0,INSIDE_VA,10,17853.2,0.0,-0.16,-0.18,-0.1,-0.43,0.0408,-0.2982,0.94,0.99,0.54,0.5807,-0.0407,0.72,0.45,1.6827,0.4439,-46.79999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,25559.757500000236,212.99797916666864,15.073083441832548,0.16,-0.36,-9.05291936097296,6.0594064560216045,-76.8331396465116,34.42163118682153,[1672993860],"[[0, 0, 0, 0]]",60,18100,CE,OTM_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-01-06 14:01:00
2023-01-06,NIFTY_18200_CE,OPTION_CHEAP_BUY_FRI,SIG_5,1,1,1672994820,1672995180,16.1,19.55,3.45,-0.0,Friday,1,18200_CE,17.710000000000004,8.05,60,1,1,0,1672994820,True,0,INSIDE_VA,11,17815.2,0.0,-0.16,-0.2,-0.12,-0.43,0.034,-0.3052,0.95,0.99,0.53,0.5739,-0.0439,0.73,0.42,1.3889,0.3946,15.200000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,26572.512500000314,221.43760416666927,15.368803177577425,0.16,-0.37,-9.375131054529941,6.0594064560216045,-82.39976464651096,34.42163118682153,[1672994820],"[[0, 0, 0, 0]]",70,18200,CE,OTM_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-01-06 14:17:00
2023-01-06,NIFTY_18300_CE,OPTION_CHEAP_BUY_FRI,SIG_6,1,1,1672994880,1672995180,8.75,10.4,1.65,-0.0,Friday,1,18300_CE,9.625,4.375,60,1,1,0,1672994880,True,0,INSIDE_VA,11,17808.5,0.0,-0.16,-0.2,-0.12,-0.45,0.034,-0.3052,0.95,0.99,0.53,0.5739,-0.0439,0.73,0.42,1.3889,0.3946,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,26572.512500000314,221.43760416666927,15.368803177577425,0.16,-0.37,-9.375131054529941,6.0594064560216045,-82.39976464651096,34.42163118682153,[1672994880],"[[0, 0, 0, 0]]",70,18300,CE,OTM_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-01-06 14:18:00
2023-01-06,NIFTY_18400_CE,OPTION_CHEAP_BUY_FRI,SIG_7,1,1,1672995360,1672997340,5.8,6.4,0.6,0.0,Friday,1,18400_CE,6.38,2.9,60,1,1,0,1672995360,True,0,INSIDE_VA,11,17850.7,0.0,-0.16,-0.16,-0.09,-0.38,0.022,-0.2712,0.96,1.0,0.52,0.565,-0.045,0.72,0.41,1.3706,0.3858,-49.29999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.47,0.08,0.45,-1,0.44,0.04,0.06,0.9,0.45,-1,0.0,-0.58,0,1,1,1,1,27099.657500000274,225.83047916666894,15.520497557889273,0.15,-0.38,-9.621788587520758,6.0594064560216045,-86.79263964651065,34.42163118682153,[1672995360],"[[0, 0, 0, 0]]",60,18400,CE,OTM_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023-01-06 14:26:00
